id,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,reviews_per_month,neighbourhood_cleansed,latitude,longitude
1126149052379174860,,Entire rental unit,Entire home/apt,86,1,within an hour,100,16,5.0,0.91,Élysée,48.8713723,2.2983539
1126161089070977826,,Entire rental unit,Entire home/apt,0,213,within an hour,99,11,4.09,0.81,Élysée,48.87105,2.32008
1125898761574484656,,Entire rental unit,Entire home/apt,164,7,a few days or more,10,4,5.0,0.29,Élysée,48.8805051,2.3197772
1127207662222801337,,Entire rental unit,Entire home/apt,307,2,,,1,5.0,0.28,Élysée,48.87321,2.3024
1126532433561641127,,Entire rental unit,Entire home/apt,315,1,within a day,100,42,4.62,2.53,Élysée,48.87535,2.31652
1127481327634328143,,Entire rental unit,Entire home/apt,307,4,within an hour,100,38,4.95,2.29,Élysée,48.8751873,2.3181117
1127619609640069136,,Entire condo,Entire home/apt,0,1,within a day,100,12,4.33,0.71,Élysée,48.873188,2.3206927
1128244108620344695,,Entire rental unit,Entire home/apt,269,1,,,3,5.0,0.17,Élysée,48.87496765436046,2.310681492090225
1127475237475836434,,Entire rental unit,Entire home/apt,325,4,within an hour,100,45,5.0,2.62,Élysée,48.8751873,2.3181117
1128151682985949663,,Entire rental unit,Entire home/apt,242,68,within an hour,99,30,4.5,1.92,Élysée,48.8719,2.30232
1130189141400626890,,Entire rental unit,Entire home/apt,314,12,within an hour,100,34,4.26,2.93,Élysée,48.8756302,2.3215292
1128924217510442058,,Entire rental unit,Entire home/apt,223,1,within an hour,100,2,5.0,0.13,Élysée,48.87835528374986,2.3011515091557397
1129704558501435861,,Entire rental unit,Entire home/apt,317,4,within an hour,100,41,5.0,2.37,Élysée,48.86740834891528,2.3029235377907757
1129790890741867942,,Entire rental unit,Entire home/apt,194,1,a few days or more,0,0,,,Élysée,48.88097,2.31544
1130927493300849764,,Entire rental unit,Entire home/apt,21,4,within an hour,99,1,5.0,0.07,Élysée,48.87217,2.30506
1130956413774201019,,Entire rental unit,Entire home/apt,60,27,within an hour,91,31,4.77,1.89,Élysée,48.87024379970809,2.316519610005896
1131620483526696008,,Entire rental unit,Entire home/apt,173,1,within an hour,100,26,4.5,1.6,Élysée,48.878242279059656,2.3064855902142365
1131088362441548140,,Entire rental unit,Entire home/apt,119,5,within an hour,100,107,4.89,6.29,Élysée,48.8701089,2.3029906
1132610827097050924,,Entire rental unit,Entire home/apt,0,41,within an hour,100,0,,,Élysée,48.87014502965504,2.310804203152657
1131814488318247491,,Entire rental unit,Entire home/apt,1,1,within an hour,89,18,4.72,2.48,Élysée,48.88127248906994,2.322679795685367
1133344561518961817,,Entire rental unit,Entire home/apt,0,1,,,16,4.81,1.01,Élysée,48.86834,2.32229
1132034926248196706,,Private room in rental unit,Private room,0,2,within an hour,100,61,4.93,3.53,Élysée,48.8709889,2.311802
1133795842696211873,,Entire rental unit,Entire home/apt,245,1,within an hour,100,4,5.0,0.8,Élysée,48.87212,2.3054
1133319928266260006,,Entire rental unit,Entire home/apt,365,1,within an hour,100,0,,,Élysée,48.8792807,2.3157089
1135349646534620169,,Entire rental unit,Entire home/apt,322,76,within an hour,100,41,4.59,2.54,Élysée,48.872334,2.301632
